text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,subject,internal_node_id,exp_id,trigger_times,responses,stimulus,possible_responses,stim_duration,condition,exp_stage,trial_num,correct_response,correct
,-1,-1,500,0,feedback,poldrack-single-stim,27,78061,s638,0.0-4.0-23.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,6,,
,-1,-1,500,0,cue,poldrack-single-stim,28,78567,s638,0.0-4.0-24.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,practice,6,,
,-1,-1,2000,0,fixation,poldrack-single-stim,29,80573,s638,0.0-4.0-25.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,593,71,1500,0,probe,poldrack-single-stim,30,82078,s638,0.0-4.0-26.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,AY,practice,6,71,true
,-1,-1,500,0,feedback,poldrack-single-stim,31,82580,s638,0.0-4.0-27.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,7,,
,-1,-1,500,0,cue,poldrack-single-stim,32,83086,s638,0.0-4.0-28.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,practice,7,,
,-1,-1,2000,0,fixation,poldrack-single-stim,33,85091,s638,0.0-4.0-29.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,594,89,2100,0,probe,poldrack-single-stim,34,87198,s638,0.0-4.0-30.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,practice,7,89,true
,-1,-1,500,0,feedback,poldrack-single-stim,35,87705,s638,0.0-4.0-31.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,8,,
,-1,-1,500,0,cue,poldrack-single-stim,36,88206,s638,0.0-4.0-32.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BX,practice,8,,
,-1,-1,2000,0,fixation,poldrack-single-stim,37,90210,s638,0.0-4.0-33.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,701,89,1700,0,probe,poldrack-single-stim,38,91917,s638,0.0-4.0-34.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,practice,8,71,false
,-1,-1,500,0,feedback,poldrack-single-stim,39,92424,s638,0.0-4.0-35.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:red""; class = center-text>Incorrect</div></div>",none,500,,practice,9,,
,-1,-1,500,0,cue,poldrack-single-stim,40,92930,s638,0.0-4.0-36.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,practice,9,,
,-1,-1,2000,0,fixation,poldrack-single-stim,41,94936,s638,0.0-4.0-37.0,dot_pattern_expectancy,,,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,practice,,,
,507,71,1500,0,probe,poldrack-single-stim,42,96440,s638,0.0-4.0-38.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe3.png""</img></div></div>","89,71",500,AY,practice,9,71,true
,-1,-1,500,0,feedback,poldrack-single-stim,43,96946,s638,0.0-4.0-39.0,dot_pattern_expectancy,,,"<div class = centerbox><div style=""color:#4FE829""; class = center-text>Correct!</div></div>",none,500,,practice,10,,
<div class = centerbox><div  class = center-text>Scanner Setup</div></div>,26557,32,26557,0,fmri_scanner_wait,poldrack-text,44,123505,s638,0.0-5.0,dot_pattern_expectancy,"103214,105071,106113,106147,106413,113728",,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,1084,84,1084,0,fmri_trigger_wait,poldrack-text,45,124590,s638,0.0-6.0,dot_pattern_expectancy,,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,46,125270,s638,0.0-7.0,dot_pattern_expectancy,124590,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,47,125950,s638,0.0-8.0,dot_pattern_expectancy,125270,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,48,126630,s638,0.0-9.0,dot_pattern_expectancy,125951,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,49,127310,s638,0.0-10.0,dot_pattern_expectancy,126630,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,50,127990,s638,0.0-11.0,dot_pattern_expectancy,127310,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,51,128670,s638,0.0-12.0,dot_pattern_expectancy,127990,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,52,129350,s638,0.0-13.0,dot_pattern_expectancy,128670,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,53,130030,s638,0.0-14.0,dot_pattern_expectancy,129351,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,54,130710,s638,0.0-15.0,dot_pattern_expectancy,130030,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,55,131390,s638,0.0-16.0,dot_pattern_expectancy,130711,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,56,132070,s638,0.0-17.0,dot_pattern_expectancy,131390,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,57,132750,s638,0.0-18.0,dot_pattern_expectancy,132070,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,680,84,680,0,fmri_trigger_wait,poldrack-text,58,133430,s638,0.0-19.0,dot_pattern_expectancy,132750,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,681,84,681,0,fmri_trigger_wait,poldrack-text,59,134111,s638,0.0-20.0,dot_pattern_expectancy,133431,,,,,,,,,
<div class = centerbox><div  class = center-text>Task about to start!</div></div>,679,84,679,0,fmri_trigger_wait,poldrack-text,60,134790,s638,0.0-21.0,dot_pattern_expectancy,134112,,,,,,,,,
,-1,-1,1000,0,fmri_buffer,poldrack-single-stim,61,135794,s638,0.0-22.0,dot_pattern_expectancy,"134791,135470",,,none,1000,,,,,
,-1,-1,1500,500,test_start_block,poldrack-single-stim,62,138223,s638,0.0-23.0,dot_pattern_expectancy,"137075,137755",,<div class = centerbox><div class = center-text>Get ready!</p></div>,none,1500,,,,,
,-1,-1,500,0,cue,poldrack-single-stim,63,139231,s638,0.0-24.0,dot_pattern_expectancy,"138435,139115",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,0,,
,-1,-1,2000,0,fixation,poldrack-single-stim,64,141237,s638,0.0-25.0,dot_pattern_expectancy,"139794,140474,141155",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,384,89,1772,0,probe,poldrack-single-stim,65,143012,s638,0.0-26.0,dot_pattern_expectancy,"141835,142515",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,0,89,true
,-1,-1,500,0,cue,poldrack-single-stim,66,143519,s638,0.0-27.0,dot_pattern_expectancy,143195,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,1,,
,-1,-1,2000,0,fixation,poldrack-single-stim,67,145525,s638,0.0-28.0,dot_pattern_expectancy,"143875,144555,145237",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,429,89,1500,0,probe,poldrack-single-stim,68,147029,s638,0.0-29.0,dot_pattern_expectancy,"145914,146595",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,1,89,true
,-1,-1,500,0,cue,poldrack-single-stim,69,147535,s638,0.0-30.0,dot_pattern_expectancy,147275,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,2,,
,-1,-1,2000,0,fixation,poldrack-single-stim,70,149541,s638,0.0-31.0,dot_pattern_expectancy,"147955,148635,149315",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,497,71,2452,0,probe,poldrack-single-stim,71,151998,s638,0.0-32.0,dot_pattern_expectancy,"149996,150676,151355",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,AY,test,2,71,true
,-1,-1,500,0,cue,poldrack-single-stim,72,152505,s638,0.0-33.0,dot_pattern_expectancy,152036,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,3,,
,-1,-1,2000,0,fixation,poldrack-single-stim,73,154511,s638,0.0-34.0,dot_pattern_expectancy,"152715,153395,154075",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,469,71,1772,0,probe,poldrack-single-stim,74,156288,s638,0.0-35.0,dot_pattern_expectancy,"154755,155436,156115",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,AY,test,3,71,true
,-1,-1,500,0,cue,poldrack-single-stim,75,156793,s638,0.0-36.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,4,,
,-1,-1,2000,0,fixation,poldrack-single-stim,76,158799,s638,0.0-37.0,dot_pattern_expectancy,"156795,157475,158155",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,729,89,1908,0,probe,poldrack-single-stim,77,160714,s638,0.0-38.0,dot_pattern_expectancy,"158835,159515,160195",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,4,89,true
,-1,-1,500,0,cue,poldrack-single-stim,78,161220,s638,0.0-39.0,dot_pattern_expectancy,160875,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,5,,
,-1,-1,2000,0,fixation,poldrack-single-stim,79,163226,s638,0.0-40.0,dot_pattern_expectancy,"161555,162235,162915",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,747,89,1908,0,probe,poldrack-single-stim,80,165140,s638,0.0-41.0,dot_pattern_expectancy,"163595,164275,164955",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,5,89,true
,-1,-1,500,0,cue,poldrack-single-stim,81,165643,s638,0.0-42.0,dot_pattern_expectancy,165635,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,6,,
,-1,-1,2000,0,fixation,poldrack-single-stim,82,167648,s638,0.0-43.0,dot_pattern_expectancy,"166315,166995",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,722,89,2588,0,probe,poldrack-single-stim,83,170238,s638,0.0-44.0,dot_pattern_expectancy,"167675,168355,169035,169715",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,6,89,true
,-1,-1,500,0,cue,poldrack-single-stim,84,170744,s638,0.0-45.0,dot_pattern_expectancy,170395,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,7,,
,-1,-1,2000,0,fixation,poldrack-single-stim,85,172751,s638,0.0-46.0,dot_pattern_expectancy,"171075,171755,172436",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,464,71,1500,0,probe,poldrack-single-stim,86,174255,s638,0.0-47.0,dot_pattern_expectancy,"173116,173796",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,AY,test,7,71,true
,-1,-1,500,0,cue,poldrack-single-stim,87,174762,s638,0.0-48.0,dot_pattern_expectancy,174476,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BY,test,8,,
,-1,-1,2000,0,fixation,poldrack-single-stim,88,176767,s638,0.0-49.0,dot_pattern_expectancy,"175156,175837,176516",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,576,71,1500,0,probe,poldrack-single-stim,89,178271,s638,0.0-50.0,dot_pattern_expectancy,"177196,177876",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,BY,test,8,71,true
,-1,-1,500,0,cue,poldrack-single-stim,90,178777,s638,0.0-51.0,dot_pattern_expectancy,178555,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue1.png""</img></div></div>",none,500,BY,test,9,,
,-1,-1,2000,0,fixation,poldrack-single-stim,91,180783,s638,0.0-52.0,dot_pattern_expectancy,"179235,179915,180595",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,954,89,1500,0,probe,poldrack-single-stim,92,182286,s638,0.0-53.0,dot_pattern_expectancy,"181275,181955",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe6.png""</img></div></div>","89,71",500,BY,test,9,71,false
,-1,-1,500,0,cue,poldrack-single-stim,93,182793,s638,0.0-54.0,dot_pattern_expectancy,182635,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,10,,
,-1,-1,2000,0,fixation,poldrack-single-stim,94,184799,s638,0.0-55.0,dot_pattern_expectancy,"183315,183995,184675",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,634,89,1636,0,probe,poldrack-single-stim,95,186441,s638,0.0-56.0,dot_pattern_expectancy,"185355,186036",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,10,89,true
,-1,-1,500,0,cue,poldrack-single-stim,96,186947,s638,0.0-57.0,dot_pattern_expectancy,186715,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BX,test,11,,
,-1,-1,2000,0,fixation,poldrack-single-stim,97,188954,s638,0.0-58.0,dot_pattern_expectancy,"187395,188075,188755",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,501,89,2044,0,probe,poldrack-single-stim,98,191000,s638,0.0-59.0,dot_pattern_expectancy,"189434,190115,190795",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,11,71,false
,-1,-1,500,0,cue,poldrack-single-stim,99,191504,s638,0.0-60.0,dot_pattern_expectancy,191476,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,12,,
,-1,-1,2000,0,fixation,poldrack-single-stim,100,193508,s638,0.0-61.0,dot_pattern_expectancy,"192155,192835",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,556,89,1772,0,probe,poldrack-single-stim,101,195284,s638,0.0-62.0,dot_pattern_expectancy,"193515,194195,194875",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,12,89,true
,-1,-1,500,0,cue,poldrack-single-stim,102,195790,s638,0.0-63.0,dot_pattern_expectancy,195556,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue6.png""</img></div></div>",none,500,BX,test,13,,
,-1,-1,2000,0,fixation,poldrack-single-stim,103,197796,s638,0.0-64.0,dot_pattern_expectancy,"196237,196915,197596",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,418,89,2588,0,probe,poldrack-single-stim,104,200388,s638,0.0-65.0,dot_pattern_expectancy,"198276,198955,199636,200316",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,BX,test,13,71,false
,-1,-1,500,0,cue,poldrack-single-stim,105,200895,s638,0.0-66.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AY,test,14,,
,-1,-1,2000,0,fixation,poldrack-single-stim,106,202899,s638,0.0-67.0,dot_pattern_expectancy,"200995,201676,202356",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,420,71,1500,0,probe,poldrack-single-stim,107,204401,s638,0.0-68.0,dot_pattern_expectancy,"203036,203716,204396",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe2.png""</img></div></div>","89,71",500,AY,test,14,71,true
,-1,-1,500,0,cue,poldrack-single-stim,108,204907,s638,0.0-69.0,dot_pattern_expectancy,,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,15,,
,-1,-1,2000,0,fixation,poldrack-single-stim,109,206914,s638,0.0-70.0,dot_pattern_expectancy,"205076,205755,206437",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,1161,89,2452,0,probe,poldrack-single-stim,110,209369,s638,0.0-71.0,dot_pattern_expectancy,"207115,207795,208475,209155",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,15,89,true
,-1,-1,500,0,cue,poldrack-single-stim,111,209873,s638,0.0-72.0,dot_pattern_expectancy,209835,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue3.png""</img></div></div>",none,500,BY,test,16,,
,-1,-1,2000,0,fixation,poldrack-single-stim,112,211876,s638,0.0-73.0,dot_pattern_expectancy,"210515,211195,211875",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,721,71,1636,0,probe,poldrack-single-stim,113,213517,s638,0.0-74.0,dot_pattern_expectancy,"212555,213235",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe1.png""</img></div></div>","89,71",500,BY,test,16,71,true
,-1,-1,500,0,cue,poldrack-single-stim,114,214024,s638,0.0-75.0,dot_pattern_expectancy,213915,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,17,,
,-1,-1,2000,0,fixation,poldrack-single-stim,115,216030,s638,0.0-76.0,dot_pattern_expectancy,"214595,215276,215956",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
,1094,89,1636,0,probe,poldrack-single-stim,116,217672,s638,0.0-77.0,dot_pattern_expectancy,"216637,217316",,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/probe5.png""</img></div></div>","89,71",500,AX,test,17,89,true
,-1,-1,500,0,cue,poldrack-single-stim,117,218179,s638,0.0-78.0,dot_pattern_expectancy,217996,,"<div class = centerbox><div class = img-container><img src = ""/static/experiments/dot_pattern_expectancy/images/cue2.png""</img></div></div>",none,500,AX,test,18,,
,-1,-1,2000,0,fixation,poldrack-single-stim,118,220184,s638,0.0-79.0,dot_pattern_expectancy,"218676,219356,220036",,<div class = centerbox><div class = fixation>+</div></div>,none,2000,,test,,,
