,action,clicked_on_loss_card,exp_stage,experiment_exp_id,gain_amount,key_press,loss_amount,num_cards,num_click_in_round,num_loss_cards,possible_responses,round_points,rt,text,time_elapsed,total_cards,trial_id,trial_type,which_round,worker_id
64,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,1.0,2.0,"89,71",13.0,1745.0,,87799,,stim,poldrack-single-stim,11.0,s548
65,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,2.0,2.0,"89,71",26.0,1844.0,,89645,,stim,poldrack-single-stim,11.0,s548
66,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,3.0,2.0,"89,71",39.0,1582.0,,91229,,stim,poldrack-single-stim,11.0,s548
67,draw_card,1.0,test,columbia_card_task_fmri,13.0,89.0,-70.0,12.0,4.0,2.0,"89,71",-31.0,2652.0,,93882,4.0,stim,poldrack-single-stim,11.0,s548
69,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,1.0,2.0,"89,71",15.0,1660.0,,97932,,stim,poldrack-single-stim,12.0,s548
70,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,12.0,2.0,2.0,"89,71",30.0,787.0,,98720,,stim,poldrack-single-stim,12.0,s548
71,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,12.0,2.0,2.0,"89,71",30.0,924.0,,99646,2.0,stim,poldrack-single-stim,12.0,s548
73,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-65.0,15.0,1.0,3.0,"89,71",-65.0,3896.0,,105933,1.0,stim,poldrack-single-stim,13.0,s548
75,draw_card,0.0,test,columbia_card_task_fmri,1.0,89.0,-45.0,16.0,1.0,1.0,"89,71",1.0,2276.0,,110941,,stim,poldrack-single-stim,14.0,s548
76,draw_card,0.0,test,columbia_card_task_fmri,1.0,89.0,-45.0,16.0,2.0,1.0,"89,71",2.0,3119.0,,114063,,stim,poldrack-single-stim,14.0,s548
77,draw_card,0.0,test,columbia_card_task_fmri,1.0,89.0,-45.0,16.0,3.0,1.0,"89,71",3.0,1901.0,,115965,,stim,poldrack-single-stim,14.0,s548
78,draw_card,1.0,test,columbia_card_task_fmri,1.0,89.0,-45.0,16.0,4.0,1.0,"89,71",-42.0,192.0,,116159,4.0,stim,poldrack-single-stim,14.0,s548
80,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-70.0,16.0,1.0,3.0,"89,71",-70.0,1266.0,,119885,1.0,stim,poldrack-single-stim,15.0,s548
82,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-50.0,10.0,1.0,3.0,"89,71",30.0,614.0,,122823,,stim,poldrack-single-stim,16.0,s548
83,end_round,0.0,test,columbia_card_task_fmri,30.0,71.0,-50.0,10.0,1.0,3.0,"89,71",30.0,1159.0,,123984,1.0,stim,poldrack-single-stim,16.0,s548
85,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,1.0,2.0,"89,71",17.0,2260.0,,128566,,stim,poldrack-single-stim,17.0,s548
86,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,2.0,2.0,"89,71",34.0,1366.0,,129934,,stim,poldrack-single-stim,17.0,s548
87,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,3.0,2.0,"89,71",51.0,1521.0,,131457,,stim,poldrack-single-stim,17.0,s548
88,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,15.0,4.0,2.0,"89,71",68.0,1513.0,,132971,,stim,poldrack-single-stim,17.0,s548
89,end_round,0.0,test,columbia_card_task_fmri,17.0,71.0,-70.0,15.0,4.0,2.0,"89,71",68.0,625.0,,133599,4.0,stim,poldrack-single-stim,17.0,s548
91,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,1.0,1.0,"89,71",7.0,3367.0,,139560,,stim,poldrack-single-stim,18.0,s548
92,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,2.0,1.0,"89,71",14.0,2987.0,,142548,,stim,poldrack-single-stim,18.0,s548
93,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,3.0,1.0,"89,71",21.0,1632.0,,144183,,stim,poldrack-single-stim,18.0,s548
94,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,4.0,1.0,"89,71",28.0,1390.0,,145574,,stim,poldrack-single-stim,18.0,s548
95,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,5.0,1.0,"89,71",35.0,756.0,,146332,,stim,poldrack-single-stim,18.0,s548
96,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-95.0,16.0,6.0,1.0,"89,71",42.0,1310.0,,147645,,stim,poldrack-single-stim,18.0,s548
97,end_round,0.0,test,columbia_card_task_fmri,7.0,71.0,-95.0,16.0,6.0,1.0,"89,71",42.0,829.0,,148476,6.0,stim,poldrack-single-stim,18.0,s548
99,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,1.0,1.0,"89,71",9.0,7280.0,,158487,,stim,poldrack-single-stim,19.0,s548
100,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,2.0,1.0,"89,71",18.0,474.0,,158963,,stim,poldrack-single-stim,19.0,s548
101,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,3.0,1.0,"89,71",27.0,2113.0,,161079,,stim,poldrack-single-stim,19.0,s548
102,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,4.0,1.0,"89,71",36.0,3072.0,,164153,,stim,poldrack-single-stim,19.0,s548
103,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,5.0,1.0,"89,71",45.0,1188.0,,165343,,stim,poldrack-single-stim,19.0,s548
104,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,6.0,1.0,"89,71",54.0,1570.0,,166915,,stim,poldrack-single-stim,19.0,s548
105,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,7.0,1.0,"89,71",63.0,870.0,,167787,,stim,poldrack-single-stim,19.0,s548
106,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,8.0,1.0,"89,71",72.0,833.0,,168623,,stim,poldrack-single-stim,19.0,s548
107,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,9.0,1.0,"89,71",81.0,1101.0,,169727,,stim,poldrack-single-stim,19.0,s548
108,draw_card,0.0,test,columbia_card_task_fmri,9.0,89.0,-100.0,16.0,10.0,1.0,"89,71",90.0,395.0,,170125,,stim,poldrack-single-stim,19.0,s548
109,end_round,0.0,test,columbia_card_task_fmri,9.0,71.0,-100.0,16.0,10.0,1.0,"89,71",90.0,1052.0,,171179,10.0,stim,poldrack-single-stim,19.0,s548
111,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,1.0,2.0,"89,71",15.0,3575.0,,177283,,stim,poldrack-single-stim,20.0,s548
112,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,2.0,2.0,"89,71",30.0,658.0,,177943,,stim,poldrack-single-stim,20.0,s548
113,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,3.0,2.0,"89,71",45.0,788.0,,178734,,stim,poldrack-single-stim,20.0,s548
114,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,4.0,2.0,"89,71",60.0,1160.0,,179897,,stim,poldrack-single-stim,20.0,s548
115,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,5.0,2.0,"89,71",75.0,1269.0,,181168,,stim,poldrack-single-stim,20.0,s548
116,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-80.0,16.0,6.0,2.0,"89,71",90.0,877.0,,182049,,stim,poldrack-single-stim,20.0,s548
117,end_round,0.0,test,columbia_card_task_fmri,15.0,71.0,-80.0,16.0,6.0,2.0,"89,71",90.0,446.0,,182497,6.0,stim,poldrack-single-stim,20.0,s548
119,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,1.0,2.0,"89,71",16.0,2109.0,,187747,,stim,poldrack-single-stim,21.0,s548
120,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,2.0,2.0,"89,71",32.0,651.0,,188400,,stim,poldrack-single-stim,21.0,s548
121,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,3.0,2.0,"89,71",48.0,819.0,,189221,,stim,poldrack-single-stim,21.0,s548
122,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,4.0,2.0,"89,71",64.0,633.0,,189856,,stim,poldrack-single-stim,21.0,s548
123,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,16.0,5.0,2.0,"89,71",80.0,2061.0,,191919,,stim,poldrack-single-stim,21.0,s548
124,end_round,0.0,test,columbia_card_task_fmri,16.0,71.0,-70.0,16.0,5.0,2.0,"89,71",80.0,945.0,,192867,5.0,stim,poldrack-single-stim,21.0,s548
126,draw_card,0.0,test,columbia_card_task_fmri,30.0,89.0,-45.0,16.0,1.0,5.0,"89,71",30.0,1934.0,,197194,,stim,poldrack-single-stim,22.0,s548
127,end_round,0.0,test,columbia_card_task_fmri,30.0,71.0,-45.0,16.0,1.0,5.0,"89,71",30.0,2792.0,,199990,1.0,stim,poldrack-single-stim,22.0,s548
129,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-75.0,6.0,1.0,1.0,"89,71",13.0,3663.0,,206047,,stim,poldrack-single-stim,23.0,s548
130,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-75.0,6.0,2.0,1.0,"89,71",26.0,1836.0,,207885,,stim,poldrack-single-stim,23.0,s548
131,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-75.0,6.0,3.0,1.0,"89,71",39.0,1806.0,,209693,,stim,poldrack-single-stim,23.0,s548
132,end_round,0.0,test,columbia_card_task_fmri,13.0,71.0,-75.0,6.0,3.0,1.0,"89,71",39.0,409.0,,210104,3.0,stim,poldrack-single-stim,23.0,s548
134,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-70.0,6.0,1.0,1.0,"89,71",14.0,2518.0,,214947,,stim,poldrack-single-stim,24.0,s548
135,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-70.0,6.0,2.0,1.0,"89,71",-56.0,852.0,,215802,2.0,stim,poldrack-single-stim,24.0,s548
137,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-80.0,6.0,1.0,1.0,"89,71",16.0,967.0,,219094,,stim,poldrack-single-stim,25.0,s548
138,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-80.0,6.0,2.0,1.0,"89,71",32.0,449.0,,219546,,stim,poldrack-single-stim,25.0,s548
139,draw_card,1.0,test,columbia_card_task_fmri,16.0,89.0,-80.0,6.0,3.0,1.0,"89,71",-48.0,368.0,,219917,3.0,stim,poldrack-single-stim,25.0,s548
141,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,6.0,1.0,1.0,"89,71",17.0,753.0,,223538,,stim,poldrack-single-stim,26.0,s548
142,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,6.0,2.0,1.0,"89,71",34.0,354.0,,223895,,stim,poldrack-single-stim,26.0,s548
143,draw_card,1.0,test,columbia_card_task_fmri,17.0,89.0,-70.0,6.0,3.0,1.0,"89,71",-36.0,874.0,,224772,3.0,stim,poldrack-single-stim,26.0,s548
145,draw_card,0.0,test,columbia_card_task_fmri,25.0,89.0,-65.0,8.0,1.0,2.0,"89,71",25.0,1476.0,,228980,,stim,poldrack-single-stim,27.0,s548
146,draw_card,0.0,test,columbia_card_task_fmri,25.0,89.0,-65.0,8.0,2.0,2.0,"89,71",50.0,1431.0,,230413,,stim,poldrack-single-stim,27.0,s548
147,end_round,0.0,test,columbia_card_task_fmri,25.0,71.0,-65.0,8.0,2.0,2.0,"89,71",50.0,697.0,,231113,2.0,stim,poldrack-single-stim,27.0,s548
149,draw_card,1.0,test,columbia_card_task_fmri,30.0,89.0,-80.0,8.0,1.0,2.0,"89,71",-80.0,1332.0,,234702,1.0,stim,poldrack-single-stim,28.0,s548
151,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-95.0,10.0,1.0,1.0,"89,71",13.0,876.0,,237903,,stim,poldrack-single-stim,29.0,s548
152,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-95.0,10.0,2.0,1.0,"89,71",26.0,702.0,,238607,,stim,poldrack-single-stim,29.0,s548
153,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-95.0,10.0,3.0,1.0,"89,71",39.0,811.0,,239420,,stim,poldrack-single-stim,29.0,s548
154,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-95.0,10.0,4.0,1.0,"89,71",52.0,444.0,,239866,,stim,poldrack-single-stim,29.0,s548
155,draw_card,0.0,test,columbia_card_task_fmri,13.0,89.0,-95.0,10.0,5.0,1.0,"89,71",65.0,871.0,,240740,,stim,poldrack-single-stim,29.0,s548
156,end_round,0.0,test,columbia_card_task_fmri,13.0,71.0,-95.0,10.0,5.0,1.0,"89,71",65.0,549.0,,241292,5.0,stim,poldrack-single-stim,29.0,s548
158,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-90.0,10.0,1.0,1.0,"89,71",14.0,1927.0,,245682,,stim,poldrack-single-stim,30.0,s548
159,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-90.0,10.0,2.0,1.0,"89,71",28.0,3576.0,,249261,,stim,poldrack-single-stim,30.0,s548
160,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-90.0,10.0,3.0,1.0,"89,71",42.0,1110.0,,250374,,stim,poldrack-single-stim,30.0,s548
161,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-90.0,10.0,4.0,1.0,"89,71",56.0,1063.0,,251441,,stim,poldrack-single-stim,30.0,s548
162,draw_card,1.0,test,columbia_card_task_fmri,14.0,89.0,-90.0,10.0,5.0,1.0,"89,71",-34.0,1008.0,,252452,5.0,stim,poldrack-single-stim,30.0,s548
164,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,10.0,1.0,2.0,"89,71",16.0,1575.0,,256557,,stim,poldrack-single-stim,31.0,s548
165,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,10.0,2.0,2.0,"89,71",32.0,386.0,,256946,,stim,poldrack-single-stim,31.0,s548
166,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,10.0,3.0,2.0,"89,71",48.0,1002.0,,257952,,stim,poldrack-single-stim,31.0,s548
167,draw_card,0.0,test,columbia_card_task_fmri,16.0,89.0,-70.0,10.0,4.0,2.0,"89,71",64.0,1031.0,,258986,,stim,poldrack-single-stim,31.0,s548
168,end_round,0.0,test,columbia_card_task_fmri,16.0,71.0,-70.0,10.0,4.0,2.0,"89,71",64.0,532.0,,259521,4.0,stim,poldrack-single-stim,31.0,s548
170,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-100.0,12.0,1.0,1.0,"89,71",7.0,3723.0,,265569,,stim,poldrack-single-stim,32.0,s548
171,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-100.0,12.0,2.0,1.0,"89,71",14.0,606.0,,266178,,stim,poldrack-single-stim,32.0,s548
172,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-100.0,12.0,3.0,1.0,"89,71",21.0,201.0,,266382,,stim,poldrack-single-stim,32.0,s548
173,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-100.0,12.0,4.0,1.0,"89,71",28.0,166.0,,266551,,stim,poldrack-single-stim,32.0,s548
174,draw_card,0.0,test,columbia_card_task_fmri,7.0,89.0,-100.0,12.0,5.0,1.0,"89,71",35.0,561.0,,267116,,stim,poldrack-single-stim,32.0,s548
175,end_round,0.0,test,columbia_card_task_fmri,7.0,71.0,-100.0,12.0,5.0,1.0,"89,71",35.0,419.0,,267537,5.0,stim,poldrack-single-stim,32.0,s548
177,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-80.0,12.0,1.0,2.0,"89,71",14.0,1125.0,,271191,,stim,poldrack-single-stim,33.0,s548
178,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-80.0,12.0,2.0,2.0,"89,71",28.0,367.0,,271562,,stim,poldrack-single-stim,33.0,s548
179,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-80.0,12.0,3.0,2.0,"89,71",42.0,365.0,,271929,,stim,poldrack-single-stim,33.0,s548
180,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-80.0,12.0,4.0,2.0,"89,71",56.0,379.0,,272312,,stim,poldrack-single-stim,33.0,s548
181,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-80.0,12.0,5.0,2.0,"89,71",70.0,827.0,,273142,,stim,poldrack-single-stim,33.0,s548
182,end_round,0.0,test,columbia_card_task_fmri,14.0,71.0,-80.0,12.0,5.0,2.0,"89,71",70.0,459.0,,273605,5.0,stim,poldrack-single-stim,33.0,s548
184,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-75.0,12.0,1.0,2.0,"89,71",-75.0,1918.0,,278527,1.0,stim,poldrack-single-stim,34.0,s548
186,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,15.0,1.0,3.0,"89,71",15.0,1526.0,,282379,,stim,poldrack-single-stim,35.0,s548
187,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,15.0,2.0,3.0,"89,71",30.0,1018.0,,283401,,stim,poldrack-single-stim,35.0,s548
188,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,15.0,3.0,3.0,"89,71",45.0,976.0,,284379,,stim,poldrack-single-stim,35.0,s548
189,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-65.0,15.0,4.0,3.0,"89,71",-20.0,1013.0,,285397,4.0,stim,poldrack-single-stim,35.0,s548
191,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-70.0,16.0,1.0,3.0,"89,71",14.0,1209.0,,288864,,stim,poldrack-single-stim,36.0,s548
192,draw_card,0.0,test,columbia_card_task_fmri,14.0,89.0,-70.0,16.0,2.0,3.0,"89,71",28.0,307.0,,289173,,stim,poldrack-single-stim,36.0,s548
193,end_round,0.0,test,columbia_card_task_fmri,14.0,71.0,-70.0,16.0,2.0,3.0,"89,71",28.0,367.0,,289544,2.0,stim,poldrack-single-stim,36.0,s548
195,draw_card,0.0,test,columbia_card_task_fmri,11.0,89.0,-30.0,16.0,1.0,5.0,"89,71",11.0,1409.0,,293415,,stim,poldrack-single-stim,37.0,s548
196,end_round,0.0,test,columbia_card_task_fmri,11.0,71.0,-30.0,16.0,1.0,5.0,"89,71",11.0,549.0,,293967,1.0,stim,poldrack-single-stim,37.0,s548
198,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-75.0,15.0,1.0,2.0,"89,71",15.0,1186.0,,297479,,stim,poldrack-single-stim,38.0,s548
199,draw_card,0.0,test,columbia_card_task_fmri,15.0,89.0,-75.0,15.0,2.0,2.0,"89,71",30.0,387.0,,297870,,stim,poldrack-single-stim,38.0,s548
200,draw_card,1.0,test,columbia_card_task_fmri,15.0,89.0,-75.0,15.0,3.0,2.0,"89,71",-45.0,349.0,,298222,3.0,stim,poldrack-single-stim,38.0,s548
202,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,15.0,1.0,2.0,"89,71",17.0,1128.0,,301677,,stim,poldrack-single-stim,39.0,s548
203,draw_card,0.0,test,columbia_card_task_fmri,17.0,89.0,-75.0,15.0,2.0,2.0,"89,71",34.0,587.0,,302268,,stim,poldrack-single-stim,39.0,s548
204,end_round,0.0,test,columbia_card_task_fmri,17.0,71.0,-75.0,15.0,2.0,2.0,"89,71",34.0,423.0,,302695,2.0,stim,poldrack-single-stim,39.0,s548
206,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,1.0,1.0,"89,71",2.0,1096.0,,306388,,stim,poldrack-single-stim,40.0,s548
207,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,2.0,1.0,"89,71",4.0,189.0,,306581,,stim,poldrack-single-stim,40.0,s548
208,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,3.0,1.0,"89,71",6.0,140.0,,306724,,stim,poldrack-single-stim,40.0,s548
209,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,4.0,1.0,"89,71",8.0,140.0,,306867,,stim,poldrack-single-stim,40.0,s548
210,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,5.0,1.0,"89,71",10.0,160.0,,307032,,stim,poldrack-single-stim,40.0,s548
211,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,6.0,1.0,"89,71",12.0,144.0,,307180,,stim,poldrack-single-stim,40.0,s548
212,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,7.0,1.0,"89,71",14.0,548.0,,307732,,stim,poldrack-single-stim,40.0,s548
213,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,8.0,1.0,"89,71",16.0,180.0,,307916,,stim,poldrack-single-stim,40.0,s548
214,draw_card,0.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,9.0,1.0,"89,71",18.0,330.0,,308251,,stim,poldrack-single-stim,40.0,s548
215,draw_card,1.0,test,columbia_card_task_fmri,2.0,89.0,-25.0,16.0,10.0,1.0,"89,71",-7.0,1435.0,,309690,10.0,stim,poldrack-single-stim,40.0,s548
