,SS_delay,SS_duration,SS_stimulus,SS_trial_type,condition,correct,correct_response,exp_stage,experiment_exp_id,key_press,passed_check,possible_responses,rt,stop_response,stopped,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
38,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",784,89.0,False,,10359,stim,2.0,stop-signal,s518
39,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",628,89.0,False,,12711,stim,3.0,stop-signal,s518
40,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",647,89.0,False,,14963,stim,4.0,stop-signal,s518
41,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,17215,stim,5.0,stop-signal,s518
42,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",388,89.0,False,,19467,stim,6.0,stop-signal,s518
43,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",560,89.0,False,,21818,stim,7.0,stop-signal,s518
44,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",544,89.0,False,,24470,stim,8.0,stop-signal,s518
45,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",508,89.0,False,,27222,stim,9.0,stop-signal,s518
46,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",542,89.0,False,,29474,stim,10.0,stop-signal,s518
47,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",563,89.0,False,,32226,stim,11.0,stop-signal,s518
48,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",591,89.0,False,,34477,stim,12.0,stop-signal,s518
49,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",582,89.0,False,,36829,stim,13.0,stop-signal,s518
50,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",569,89.0,False,,39181,stim,14.0,stop-signal,s518
51,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",580,89.0,False,,41733,stim,15.0,stop-signal,s518
52,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",554,89.0,False,,43984,stim,16.0,stop-signal,s518
53,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",426,89.0,False,,46236,stim,17.0,stop-signal,s518
54,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",503,89.0,False,,48489,stim,18.0,stop-signal,s518
55,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,0.0,89.0,test,motor_selective_stop_signal,71.0,True,"89,71",466,89.0,False,,50841,stim,19.0,stop-signal,s518
56,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",483,89.0,False,,53493,stim,20.0,stop-signal,s518
57,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",485,89.0,False,,55845,stim,21.0,stop-signal,s518
58,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",673,89.0,False,,58097,stim,22.0,stop-signal,s518
59,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",673,89.0,False,,60449,stim,23.0,stop-signal,s518
60,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,62801,stim,24.0,stop-signal,s518
61,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",460,89.0,False,,65653,stim,25.0,stop-signal,s518
62,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",413,89.0,False,,68105,stim,26.0,stop-signal,s518
63,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",489,89.0,False,,70456,stim,27.0,stop-signal,s518
64,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",560,89.0,False,,73108,stim,28.0,stop-signal,s518
65,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",575,89.0,False,,75361,stim,29.0,stop-signal,s518
66,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",508,89.0,False,,77613,stim,30.0,stop-signal,s518
67,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",583,89.0,False,,79866,stim,31.0,stop-signal,s518
68,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",512,89.0,False,,82319,stim,32.0,stop-signal,s518
69,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",435,89.0,False,,84670,stim,33.0,stop-signal,s518
70,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",415,89.0,False,,86923,stim,34.0,stop-signal,s518
71,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,89275,stim,35.0,stop-signal,s518
72,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",496,89.0,False,,91727,stim,36.0,stop-signal,s518
73,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",604,89.0,False,,94079,stim,37.0,stop-signal,s518
74,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",453,89.0,False,,96330,stim,38.0,stop-signal,s518
75,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",602,89.0,False,,98583,stim,39.0,stop-signal,s518
76,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",534,89.0,False,,100934,stim,40.0,stop-signal,s518
77,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",584,89.0,False,,103286,stim,41.0,stop-signal,s518
78,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",514,89.0,False,,105638,stim,42.0,stop-signal,s518
79,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",445,89.0,False,,108590,stim,43.0,stop-signal,s518
80,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",486,89.0,False,,110842,stim,44.0,stop-signal,s518
81,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",531,89.0,False,,113194,stim,45.0,stop-signal,s518
82,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",638,89.0,False,,115446,stim,46.0,stop-signal,s518
83,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",681,89.0,False,,117898,stim,47.0,stop-signal,s518
84,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",440,89.0,False,,120250,stim,48.0,stop-signal,s518
85,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",545,89.0,False,,122802,stim,49.0,stop-signal,s518
86,,,,,,0.0,,,motor_selective_stop_signal,-1.0,True,none,-1,,True,,130304,rest_block,,poldrack-single-stim,s518
88,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",441,89.0,False,,135858,stim,50.0,stop-signal,s518
89,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",680,89.0,False,,138111,stim,51.0,stop-signal,s518
90,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",625,89.0,False,,140362,stim,52.0,stop-signal,s518
91,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",543,89.0,False,,143115,stim,53.0,stop-signal,s518
92,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",629,89.0,False,,145466,stim,54.0,stop-signal,s518
93,100.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,147718,stim,55.0,stop-signal,s518
94,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",794,89.0,False,,150170,stim,56.0,stop-signal,s518
95,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",532,89.0,False,,152422,stim,57.0,stop-signal,s518
96,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",624,89.0,False,,154774,stim,58.0,stop-signal,s518
97,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",683,89.0,False,,157026,stim,59.0,stop-signal,s518
98,150.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,159278,stim,60.0,stop-signal,s518
99,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,161531,stim,61.0,stop-signal,s518
100,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",424,89.0,False,,163783,stim,62.0,stop-signal,s518
101,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",522,89.0,False,,166035,stim,63.0,stop-signal,s518
102,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",524,89.0,False,,168387,stim,64.0,stop-signal,s518
103,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",617,89.0,False,,170939,stim,65.0,stop-signal,s518
104,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",775,89.0,False,,173891,stim,66.0,stop-signal,s518
105,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,176143,stim,67.0,stop-signal,s518
106,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",528,89.0,False,,178495,stim,68.0,stop-signal,s518
107,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",688,89.0,False,,181047,stim,69.0,stop-signal,s518
108,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",569,89.0,False,,183300,stim,70.0,stop-signal,s518
109,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",482,89.0,False,,185652,stim,71.0,stop-signal,s518
110,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",419,89.0,False,,188203,stim,72.0,stop-signal,s518
111,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",390,89.0,False,,190655,stim,73.0,stop-signal,s518
112,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",554,89.0,False,,193007,stim,74.0,stop-signal,s518
113,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",610,89.0,False,,195659,stim,75.0,stop-signal,s518
114,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",609,89.0,False,,198211,stim,76.0,stop-signal,s518
115,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",559,89.0,False,,200963,stim,77.0,stop-signal,s518
116,200.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,203516,stim,78.0,stop-signal,s518
117,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",449,89.0,False,,205968,stim,79.0,stop-signal,s518
118,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",628,89.0,False,,208720,stim,80.0,stop-signal,s518
119,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",545,89.0,False,,211271,stim,81.0,stop-signal,s518
120,250.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,213623,stim,82.0,stop-signal,s518
121,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",532,89.0,False,,215875,stim,83.0,stop-signal,s518
122,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",604,89.0,False,,218528,stim,84.0,stop-signal,s518
123,300.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,stop,0.0,89.0,test,motor_selective_stop_signal,-1.0,True,"89,71",-1,89.0,True,,220780,stim,85.0,stop-signal,s518
124,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",467,89.0,False,,223132,stim,86.0,stop-signal,s518
125,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",649,89.0,False,,225384,stim,87.0,stop-signal,s518
126,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",517,89.0,False,,227735,stim,88.0,stop-signal,s518
127,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",541,89.0,False,,230087,stim,89.0,stop-signal,s518
128,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",500,89.0,False,,232339,stim,90.0,stop-signal,s518
129,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,stop,ignore,1.0,71.0,test,motor_selective_stop_signal,71.0,True,"89,71",433,89.0,False,,235192,stim,91.0,stop-signal,s518
130,350.0,500.0,<div class = coverbox></div><div class = stopbox><div class = centered-shape id = stop-signal></div><div class = centered-shape id = stop-signal-inner></div></div>,go,go,1.0,89.0,test,motor_selective_stop_signal,89.0,True,"89,71",623,89.0,False,,237544,stim,92.0,stop-signal,s518
