,visual object recognition,visual color recognition,visual pattern recognition,visual shape recognition,visual word recognition,saccade,response selection,response execution,response inhibition,response conflict,resistance to distractor interference,error detection,oddball detection,orienting,selective attention,feature-based attention,proactive control,reactive control,working memory,visual working memory,task switching,cue switching,mathematical reasoning,planning,decision under uncertainty,intertemporal choice,temporal discounting,economic value processing,reward,monetary loss,risk,selective control
Motor Selective Stop Signal (critical stop failure - critical go),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Stroop (task),0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.0,0.06169871794871784,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop (congruency parametric),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.03245192307692313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stop Signal (task),0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.8,0.333333333,0.0,0.0,0.048224299065420695,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stop Signal (stop success - go),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stop Signal (stop failure - go),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Two By Two (task),0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.10424311926605513,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Two By Two (task switch cost),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Two By Two (cue switch cost),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ward & Allport Towers Task (task),1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ward & Allport Towers Task (planning parametric),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
